SQUID,UNIT,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
C76-65,1b,97.06,97.06,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,25-50%,Distal,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Concave,Concave,Trapezoidal,Plunging,Symmetrical,8,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Invasive,,,No,,,,,,,,,,,,,,16.37,28.92,31.11,17.38,6.47,28.26,4.48,,Photo+3d,
C77-108,1b,96.98,96.98,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Convex,Triangular,Oval,Feather,A symetric to the right,10,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Half quina,,,No,,,,,,,,,,,,,,17,18.08,32.96,15.37,7.65,12.53,7.29,,Photo+3d,
C78-19,2b,97.22,97.22,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Oblique,Oval,Step,A symetric to the right,5,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Right edge,Dorsal,Scraper-like,,,No,,,,,,,,,,,,,,17.82,21.56,25.52,18.67,4.57,17.5,4.62,,Photo high resolution,
C79-39,1b,97.04,97.04,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Irregular,Trapezoidal,Hinge,Symmetrical,8,Along axis opposed,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal left,Dorsal,Mixed,,,No,,,,,,,,,,,,,,15.88,17.39,22.72,17.78,6.94,14.08,3.83,,None,
D77-33,1b,97.03,97.03,Tuf,Non-Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,7,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,,,No,,,,,,,,,,,,,,,,14.64,10.31,1.29,2.46,1.21,,Photo+3d,
Zz77-34,1b,96.94,96.94,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Triangular,Trapezoidal, pointed,Feather,Symmetrical,4,Along axis side,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal left,Dorsal,Half quina,,,No,,,,,,,,,,,,,,19.26,13.62,19.54,20.2,3.68,20.24,4.06,,Photo high resolution,
A76-8,1b,96.93,96.93,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Irregular,Sub rectangular,Feather,A symetric to the left,6,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,,,No,,,,,,,,,,,,,,12.42,13.27,15.44,12.24,1.93,7.95,1.78,,None,
A76,1b,96.95,96.91,Tuf,Non-Obsidian,Flake,Dist,Fresh,No patina,25-50%,Proximal left,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,2,Along axis side,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal right,Dorsal,Regular,,,No,,,,,,,,,,,,,,,,20.67,12.97,3.87,7.5,2.22,,None,
A76-c,1b,97.02,96.96,Tuf,Non-Obsidian,Flake,Prox,Fresh,No patina,0,,,Indeterminate,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,7,Along axis side,,,Yes,Flake,Pre detachment,Module 3,,Distal right,Dorsal,Half quina,,,No,,,,,,,,,,,,,,,,26.21,16.93,6.62,,,,Photo high resolution,
A79-6,1b,97.07,97.07,Tuf,Non-Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Concave,Oval,Feather,Symmetrical,1,Along axis,Plain,Not lipped,Yes,Flake,,Module 0,,Proximal,Dorsal,Isolated removals,,,No,,,,,,,,,,,,,,2.61,6.63,9.01,3.65,0.86,4.26,1.47,,Photo high resolution,Check 
