SQUID,UNIT,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
Zz76-38,1b,97.06,96.99,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Trapezoidal,Feather,Symmetrical,7,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,6.04,7.7,8.71,5.57,0.99,,,0.05,Photo high resolution,
Zz76-46,1b,97.06,96.99,Tsaghk-2 ttavakar,Obsidian,Kombewa,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,4,Along axis side,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Dista proximal left,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,15.86,6.97,2.24,,,0.18,None,
Zz77-17,1b,96.99,96.95,Tsaghk-2 ttavakar,Obsidian,Kombewa,Prox+Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,2,Along axis,,,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,9.61,7.19,0.99,,,0.05,None,
Zz77-37,1b,96.99,96.95,Tsaghk-2 ttavakar,Obsidian,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,9,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 4,,Proximal left,On edge,Scraper-like,No,,No,,,,,,,,,,,,,,,,17.28,6.13,3.92,,,0.27,Photo high resolution,Check notes
Zz77-40,1b,96.99,96.95,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Triangular,Trapezoidal,Hinge,Symmetrical,4,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,8.18,8.52,8.78,8.61,1.65,4.06,1.09,0.14,None,
B79-1,1b,97.01,96.98,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,Symmetrical,6,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,8.66,6.31,9.01,7.8,0.85,2.16,0.57,0.05,None,
B79-2,1b,97.01,96.98,Tsaghk-2 ttavakar,Obsidian,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,5,Along axis,,,Yes,Flake,Pre detachment,Module 2,,Distal left,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,7.45,6.09,0.69,,,0.03,None,
B79-3,1b,97.01,96.98,Tsaghk-2 ttavakar,Obsidian,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,6,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Distal proximal right,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,8.58,6.8,0.66,0.96,0.62,0.04,None,
A77-e,1b,97.01,96.99,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Polyhedral,Sub rectangular,Hinge,Symmetrical,9,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,12.89,10.72,12.85,10.85,1.75,,,0.27,Photo high resolution,
A77-l,1b,97.01,96.99,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Triangular,Feather,Symmetrical,7,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.34,6.61,6.81,5.65,0.64,2.05,0.76,0.01,Photo high resolution,
C77-j,1b,97.05,96.97,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Trapezoidal,Feather,Symmetrical,5,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.53,8.62,12.04,8.73,1.18,,,0.1,None,
C78-b,1b,97.02,97,Tsaghk-2 ttavakar,Obsidian,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,,,,Feather,,3,Along axis,,,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,12.15,7.26,2.7,,,0.09,None,Two ventrals
A77-40-a,1b,96.98,96.98,Tsaghk-2 ttavakar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Oblique,Sub rectangular,Feather,Symmetrical,9,Along axis side,Plain,Lipped,Yes,Kombewa flake,Pre detachment,Module 4,,Proximal until ridge,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,17.72,7.77,18.59,9.45,2.39,2.02,0.96,0.32,Photo+3d,
A77-40-c,1b,96.98,96.98,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,7,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.34,10.16,11.96,6.81,1.08,,,0.07,None,
B79-21-a,1b,97.02,97.02,Tsaghk-2 ttavakar,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,3,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 4,,Proximal,Dorsal,Regular,No,,Yes,,Proximal,Ventral,Signs of use,Straight,,,,,,,,,,,14.86,8.21,1.54,1.62,1.3,0.18,Photo high resolution,
B79-21-e,1b,97.02,97.02,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Oval,Feather,Symmetrical,3,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,8.64,5.35,8.53,5.43,1.13,1.42,0.56,0.01,Photo+3d,
B79-21-f,1b,97.02,97.02,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Oval,Feather,Symmetrical,5,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.96,5.81,7.17,5.84,0.85,2.03,0.56,0.01,Photo+3d,
C78-34-a,1b,97,97,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,1,Side,Plain,Lipped,Yes,Flake,,Module 0,,,,,No,,No,,,,,,,,,,,,,,8.1,6.88,8.47,7.13,1.09,2.95,0.99,0.06,Photo+3d,
Zz77-37-a,1b,96.92,96.92,Tsaghk-2 ttavakar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,A symetric to the left,4,Along axis,Plain,Lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,15.1,14.53,23.02,15.76,2.23,5.48,1.2,0.65,None,
Zz77-14-a,1b,96.95,96.95,Tsaghk-2 ttavakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Oval,Feather,Symmetrical,7,Centripetal,Plain,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.89,7.57,9.05,7.52,0.77,1.68,1.02,0.05,None,
A77-2,1b,97.03,97.01,Tsaghk-1-ar64,Obsidian,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,7,Side,Dihedral,Not lipped,Yes,Flake,Pre detachment,Module 1,,Distal proximal right,Dorsal,Fine,No,,No,,,,,,,,,,,,,,,,7.39,8.57,0.7,2.91,0.45,0.04,None,
A77-6,1b,97.03,97.01,Tsaghk-1-ar64,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,Symmetrical,0,Plain,Crushed,Not lipped,Yes,Flake,,Module 0,,None,None,None,No,,No,,,,,,,,,,,,,,3.87,6.78,7.47,4.06,0.64,,,0,None,
A77-7,1b,97.03,97.01,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,3,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.91,5.37,8,5.09,0.67,1.54,0.52,0,None,
A77-13,1b,97.03,97.01,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Trapezoidal,Sub rectangular,Feather,Symmetrical,6,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.23,5.7,8.45,5.72,1,,,0.05,None,
A77-21,1b,97.03,97.01,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Irregular,Irregular,Feather,A symetric to the left,8,Side,Faceted,Lipped,Yes,Flake,Pre detachment,Module 4,,Dista proximal left,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,14.12,7.65,16.58,9.28,1.48,6.09,1.33,0.17,Photo high resolution,
C76-5,2b,97.19,97.07,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Oblique, pointed,Feather,Symmetrical,3,Side,Dihedral,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.19,4.92,6.46,5.08,1.3,4.41,0.96,0.04,None,
C76-17,2a,97.09,97.04,Tsaghk-1-ar64,Obsidian,Kombewa,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal right,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,8.92,5.83,1.03,2.02,0.94,0.06,None,
C76-27,2a,97.09,97.04,Tsaghk-1-ar64,Obsidian,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,6,Side,,,Yes,Flake,Pre detachment,Module 2,,Left edge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,9.13,5.59,0.61,,,0.03,None,
C76-27,2a,97.09,97.04,Tsaghk-1-ar64,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Irregular,Feather,Symmetrical,6,Along axis,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,9.92,7.78,12.76,10.37,1.14,4.96,0.81,0.12,None,
C76-31,2a,97.09,97.04,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Trapezoidal,Trapezoidal,Feather,Symmetrical,4,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.28,4.31,7.35,8.27,1.1,2.97,0.68,0.06,None,
C76-4,1b,97.08,97.04,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,2,Along axis,Punctiform,Not lipped,Yes,Flake,,Module 0,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,3.21,5.12,5.06,3.67,0.68,2.56,0.17,0,None,
C79,2b,97.21,97.21,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,6,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.41,4.18,6.93,5.61,0.81,2.02,0.51,0.01,None,
C79-2,1b,97.08,97.04,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Trapezoidal,Feather,Symmetrical,6,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,7.29,6,9.21,6.91,1.59,1.58,0.83,0.08,None,
D76-4,1b,97.08,97,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Concave,Concave,Trapezoidal,Feather,Symmetrical,5,Along axis opposed,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,4.98,8,8,5.08,0.66,,,0.01,Photo high resolution,
D76-14,1b,97.08,97,Tsaghk-1-ar64,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Oval,Feather,Symmetrical,3,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Dista proximal left,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.08,3.94,5.28,4.55,0.41,1.39,0.52,0.01,Photo high resolution,
D76,2a,97.23,97.16,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Polyhedral,Oval,Feather,Symmetrical,9,Side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Quina,No,,No,,,,,,,,,,,,,,8.5,9.34,10.14,8.31,1.66,,,0.1,Photo high resolution,
D79,2b,97.3,97.3,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Convex,Trapezoidal,Feather,A symetric to the right,7,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.65,10.77,12.97,7.05,1.35,,,0.1,None,
A77-65,1b,96.92,96.92,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,6,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.77,11.09,8.69,10.49,2.67,5.16,1.19,0.23,Photo high resolution,
B78-18,5,97.53,97.53,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Trapezoidal,Feather,Symmetrical,7,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,10.45,15.25,17.07,11.28,2.24,,,0.36,None,
C77-87,1b,97.01,97.01,Tsaghk-1-ar64,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Polyhedral,Irregular,Feather,A symetric to the left,11,Centripetal,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 4,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,21.78,15.48,28.94,17,2.57,12.91,2.1,0.97,None,
C79-14,2b,97.23,97.23,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Oblique,Trapezoidal,Feather,Symmetrical,10,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Distal and proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,17.6,13.28,18.87,16.76,2,,,0.55,None,
F6c-5,1b,97.4,97.35,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Irregular,Feather,Symmetrical,3,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,4.6,5.41,6.66,5.96,0.57,1.36,0.65,0,Photo high resolution,
F6a/c,1b,97.4,97.35,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,1-25%,Distal left,,No,,,,,,,,,,,,,,,,Edge Modification,Convex,Straight,Irregular,Trapezoidal,Feather,Symmetrical,9,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Quina,No,,No,,,,,,,,,,,,,,12.4,16.92,18.23,12.71,3.26,4.41,2.45,0.55,Photo+3d,
F7c-5,1b,97.4,97.35,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Trapezoidal,Feather,Symmetrical,5,Centripetal,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,10.01,9.03,10.09,10.73,1.75,1.31,0.87,0.13,None,
F6-7-15,2b,97.5,97.3,Tsaghk-1-ar64,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,6,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,6.22,5.54,1.3,5.49,1.2,0.04,Photo+3d,
D79-1,6,97.35,97.3,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Irregular,Irregular,Trapezoidal,Feather,Symmetrical,4,Side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.69,12.75,12.95,9.05,2.49,7.39,2.04,0.3,None,
C79-a,6,97.5,97.4,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Trapezoidal,Step,Symmetrical,7,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.6,15.86,16.23,5.72,1.76,10.53,1.49,0.34,None,
C78-b,6,97.5,97.4,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Concave,Concave,Oval,Feather,Symmetrical,4,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,7.13,12.35,12.63,8.22,1.38,6.7,1.76,0.16,Photo+3d,
D80-b,6,97.5,97.3,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Triangular,Oval,Feather,Symmetrical,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,10.95,8.59,11.59,9.97,2.72,6.32,1.89,0.27,None,
D78-b,6,97.5,97.3,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,6,Along axis opposed,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,8.3,8.96,10.52,8.93,2.04,5,1.93,0.24,None,
D78-1,6,98.78,98.69,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Straight,Trapezoidal,Hinge,Symmetrical,10,Along axis opposed,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,8.27,15.18,15.83,9.18,3.04,,,0.45,None,
D77-k,6,98.23,98.13,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Leaf shaped,Feather,Symmetrical,6,Along axis side,Punctiform,Lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,5.86,6.13,7.12,5.75,1.05,4.55,0.67,0.03,None,
D77-c,6,98.33,98.24,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Concave,Triangular,Trapezoidal,Hinge,Symmetrical,4,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,9.1,7.01,9.56,8.1,2.19,2.89,1.75,0.17,None,
C78-4,6,98.68,98.68,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Polyhedral,Oval,Feather,Symmetrical,9,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,12,11.18,12.49,11.93,2.77,,,0.39,None,
D76-3,5,98.05,98.05,Tsaghk-1-ar64,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Polyhedral,Trapezoidal,Hinge,Symmetrical,5,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,9.16,3.94,10.08,6.03,1.02,2,1.16,0.03,None,
C78-f,1b,96.95,96.91,Tsaghk-1 kamakar,Obsidian,Kombewa,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Concave,Convex,Irregular,Irregular,Feather,Symmetrical,4,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,9.66,6.01,9.49,7.53,1.27,1.9,0.9,0.11,None,
A76-2,1b,96.95,96.91,Tsaghk-1 kamakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,1,Along axis,Punctiform,Not lipped,Yes,Flake,,Module 0,,None,None,None,No,,No,,,,,,,,,,,,,,3.72,2.34,3.02,2.4,0.68,1.56,0.61,0,None,
A76-16,1b,96.95,96.91,Tsaghk-1 kamakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Concave,Sub triangular,Feather,A symetric to the right,4,Along axis side,Faceted,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.57,6.75,9.82,6.67,0.74,5.76,1.2,0.07,None,
B79-15,1b,97.07,97,Tsaghk-1 kamakar,Obsidian,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,Straight,Straight,Straight,Trapezoidal,Hinge,Symmetrical,10,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 3,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,6.39,7.97,10.76,6.57,1.53,2.15,0.82,0.09,None,
C76-18,1b,97.03,96.96,Tsaghk-1 kamakar,Obsidian,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,,,5,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,,,13.11,7.58,1.59,0.97,0.79,0.13,None,
C77-2,1b,96.98,96.92,Tsaghk-1 kamakar,Obsidian,Kombewa,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification,,,,,Feather,,8,Along axis,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,,,13.35,11.26,1.23,,,0.18,None,
