SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
J14-1017/1029-c,1.4,1,99.66,99.61,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Oblique,Leaf shaped,Feather,Symmetrical,,4,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.31,3.55,5.27,3.58,0.92,2.46,0.92,0.01,None,
J14-1317/1336-a,3.1,3,99.31,99.28,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Polyhedral,Trapezoidal,Feather,Symmetrical,,2,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.8,4.03,5.56,4.75,0.56,1.66,0.4,0,None,
J14-1317/1336-b,3.1,3,99.31,99.28,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Oblique,Pointed,Feather,Symmetrical,Yes,1,Side,Faceted,Lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal right,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,5.62,3.6,6.35,3.89,0.64,2.99,1.21,0,None,
J14-910/924-d,0.2,0,99.78,99.75,Geghasar,Obsidian,40,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Rectangular,Feather,Symmetrical,,5,Along axis side,Plain,Not lipped,Yes,Bladelet,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.58,3.08,5.49,3.09,0.43,1.88,0.66,0.01,None,
J14-910/924-small,0.2,0,99.78,99.75,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Leaf shaped,Feather,Symmetrical,,2,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,7.92,3.7,7.92,3.1,0.38,2.39,0.67,0,None,
J14-620/629-a,0.2,0,99.95,99.91,Geghasar,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Concave convex,Leaf shaped,Feather,Symmetrical,,4,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.45,4.16,6.06,3.81,0.6,3.05,1.3,0.01,None,
J14-620/629-a,0.2,0,99.95,99.91,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Trapezoidal,Hinge,Symmetrical,,3,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,9.43,4.11,10.15,7.44,1.01,2.7,0.57,0.04,None,
J14-620/629/b,0.2,0,99.95,99.91,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Leaf shaped,Feather,A symetric to the right,Yes,1,Along axis,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,3.4,3.52,4.48,3.51,0.47,2.34,0.98,0.01,None,
M15-1780/1786-a,0.2,0,99.84,99.84,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Irregular,Feather,Symmetrical,,12,Along axis opposed,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,9.6,7.15,10.16,7.49,1.33,1.93,0.82,0.07,None,
M15-1780/1786-b,0.2,0,99.84,99.84,Geghasar-1,Obsidian,40,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Pointed,Feather,Symmetrical,,2,Along axis,Punctiform,Not lipped,Yes,Bladelet,Pre detachment,Module 1,,Circumference,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,6.49,2.12,6.49,2.12,0.44,1.22,0.66,0,None,
