SQUID,UNIT,Merged_UNITs,TOPELEVATION,BOTTOMELEVATION,RAWMAT,Material Type,Distance (km),DEBITAGE,DATACLASS,PRESERVATION,PATINATION,CORTEX,LOCATION OF CORTEX,CORTEX OF PREPARATION SURFACE,BURNT,SURFACE OF  FLAKE USED FOR FLAKING,NUMBER OF ACTIVE EDGES CORES,NUMBER OF PLATFORMS ON CORE,NUMBER OF SCARS FS,NUMBER OF SCARS PS,CORE LONGITUDINAL SECTION,CORE MORPHOLOGY,CORE TECHNOLOGY,CORE FLAKING METHODS,CORE TYPE,TYPE OF FLAKE CF,DOMINANT SCAR,LAST SCAR,ANGLE BETWEEN SP AND DS,FLAKE SP,TECHNOLOGY,PROFILE VENTRAL,PROFILE DORSAL,SECTION,FLAKE MORPHOLOGY,FLAKE TERMINATION,SYMMETRY,Parent Scar,NO DORSAL SCARS,SCAR PATTERN,STRIKING PLATFORM,LIP,RETOUCH,TOOL BLANK,STAGE OF RETOUCH,MODULE,TYPOLOGY A,RETOUCH LOCATION A,RETOUCH FACE A,RETOUCH TYPE A,ABRASION,SHAPE OF ACTIVE EDGE A,SECOND EVENT RETOUCH,TYPOLOGY B,RETOUCH LOCATION B,RETOUCH FACE B,RETOUCH TYPE B,SHAPE OF ACTIVE EDGE B,CORE LENGTH,CORE WIDTH,CORE THICKNESS,LENGTH OF DOMINANT SCAR,WIDTH OF DOMINANT SCAR,LENGTH OF LAST SCAR,WIDTH OF LAST SCAR,CORE CIRCUMFERENCE,TECHNOLOGICAL LENGTH,TECHNOLOGICAL WIDTH,MORPHOLOGICAL LENGTH,MORPHOLOGICAL WIDTH,THICKNESS,BREADTH OF STRIKING PLATFORM,DEPTH OF STRIKING PLATFORM,WEIGHT,IMAGE ACQUISITION 2D AND 3D,COMMENTS
J14-716/746-c,0.2,0,99.85,99.83,Hatis beta,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Leaf shaped,Feather,A symetric to the left,,2,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.86,4.35,6.53,4.35,0.88,2.15,0.73,0.01,None,
K14-1815/1830-d,4.1,4,98.75,98.72,Hatis beta,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Irregular,Feather,Symmetrical,Yes,3,Along axis side,Crushed,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,6.89,3.96,7.02,3.99,0.78,,,0.01,None,
J14-1317/1336,3.1,3,99.31,99.28,Tsaghk-1 kamakar,Obsidian,90,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Oblique,Irregular,Feather,A symetric to the right,,6,Convergent side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,4.15,3.58,5.6,4.21,0.88,1.04,0.87,0.01,Photo+3d,Reffit with id:k14a-983/1015
M15-1854/1856,1.3,1,99.64,99.61,Tsaghk-1 kamakar,Obsidian,90,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Trapezoidal,Feather,Symmetrical,,4,Along axis side,Plain,Not lipped,Yes,Bladelet,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,5.6,2.41,5.55,2.47,0.65,1.67,0.69,0,None,
K14-a-983/1015,4.1,4,98.91,98.85,Tsaghk-1 kamakar,Obsidian,90,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Oblique,Sub rectangular,Feather,Symmetrical,,6,Along axis side,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.28,4.09,6.37,4.43,1.19,3.72,0.85,0.01,Photo+3d,Reffit with id:j14-1317/1336
J14-860/882-a,0.2,0,99.79,99.78,Tsaghk-1 kamakar,Obsidian,90,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Oval,Feather,Symmetrical,,5,Along axis opposed,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,6.4,5.2,6.99,5.49,0.76,3.06,1.25,0.01,None,
J14-860/882-b,0.2,0,99.79,99.78,Tsaghk-1 kamakar,Obsidian,90,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Irregular,Feather,Symmetrical,,4,Along axis opposed,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Flat,No,,No,,,,,,,,,,,,,,4.39,7.16,8,4.83,0.55,,,0.01,None,
K14-1117/1126-a,3.1,3,99.49,99.47,Obsidian,Obsidian,,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Rectangular,Feather,Symmetrical,,2,Along axis opposed,Plain,Not lipped,Yes,Bladelet,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.4,3.12,6.3,3.11,0.49,2.88,0.29,0.01,None,
K14-1117/1126-b,3.1,3,99.49,99.47,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Oblique,Sub rectangular,Feather,Symmetrical,Yes,1,Plain,Punctiform,Not lipped,No,,,Module 0,,,,,,,No,,,,,,,,,,,,,,5.62,3.39,5.54,3.38,1.43,1.93,0.79,0.01,None,
J13-558/564,3.2 int,3,98.83,98.85,Obsidian,Obsidian,,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Sub rectangular,Feather,Symmetrical,,2,Along axis,Crushed,Not lipped,Yes,Bladelet,Pre detachment,Module 1,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.33,2.76,6.44,2.77,0.61,,,0.01,None,
K12,4.2,4,98.29,98.27,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Irregular,Triangular,Irregular,Feather,Symmetrical,,10,Convergent side,Plain,Lipped,Yes,Flake,Pre detachment,Module 4,,Distal proximal right,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,12.29,10.33,19.96,11.33,3.11,4.31,1.74,0.46,None,
K12-4418/4444-a,4.2,4,98.51,98.49,Chert,Non-Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Trapezoidal,Feather,A symetric to the left,Yes,8,Along axis side,Punctiform,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal left,Dorsal,Fine,No,,No,,,,,,,,,,,,,,11.18,8.75,12.28,9.26,0.83,2.16,0.71,0.1,None,
K12-4418/4444-b,4.2,4,98.51,98.49,Geghasar-1,Obsidian,40,Flake,Lat,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Hinge,,,3,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,,,7.98,4.49,1.11,4.22,1,0.01,None,
K12-4418/4444-c,4.2,4,98.51,98.49,Sevkar,Obsidian,90,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Sub rectangular,Feather,A symetric to the right,Yes,4,Along axis,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.03,3.21,7.12,3.64,1.94,2.34,0.68,0.01,None,
K12-4156/4199-a,4.1,4,98.53,98.53,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Irregular,Irregular,Trapezoidal,Step,Symmetrical,,3,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.94,3.29,5.31,5.38,1.07,1.96,1.12,0.01,None,
K12-4863/4878-a,4.2,4,98.44,98.38,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Oblique,Irregular,Feather,Symmetrical,Yes,5,Along axis side,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,10.37,6.83,10.25,8.63,1.86,2.14,1.15,0.14,None,
K12-5611/5655-a,4.2,4,98.29,98.28,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Trapezoidal,Feather,Symmetrical,,6,Along axis side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.51,7.97,8.37,4.89,0.59,1.4,0.5,0.01,None,
K12-5469/5487-a,4.2,4,98.34,98.31,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Twisted,Straight,Triangular,Sub rectangular,Feather,A symetric to the right,,7,Convergent side,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,5.74,4.1,8.23,4.6,1.01,1.81,0.73,0.01,None,
K12-5286/5466-a,4.2,4,98.37,98.32,Hatis alpha,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Straight,Oblique,Trapezoidal,Feather,Symmetrical,Yes,3,Along axis side,Punctiform,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.82,7.68,8.69,6.13,1.36,2.27,1.13,0.05,None,
K12-5286/5466-b,4.2,4,98.17,98.32,Obsidian,Obsidian,,Flake,Dist,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,,,,1,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,,,6.07,4.91,0.68,3.26,0.91,0.01,None,
K12-5286/5466-c,4.2,4,98.37,98.32,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Oblique,Sub rectangular,Feather,Symmetrical,,1,Along axis,Plain,Not lipped,No,,,Module 1,,,,,,,No,,,,,,,,,,,,,,4.88,4.12,5.81,3.84,0.63,1.72,0.47,0.01,None,
K12-5660/5610-a,4.2,4,98.32,98.28,Tsaghk-2 ttavakar,Obsidian,86,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Triangular,Triangular,Triangular,Feather,A symetric to the left,,6,Along axis opposed,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,5.51,7.13,13.84,5.4,2.56,2.53,1.13,0.07,None,
K12-5484,4.2,4,98.32,98.32,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Trapezoidal,Oval,Feather,Symmetrical,Yes,7,Along axis side,Dihedral,Lipped,Yes,Kombewa flake,Pre detachment,Module 4,,Circumference,Dorsal,Mixed,No,,No,,,,,,,,,,,,,,11.81,12.85,15.45,12.76,2.79,13.94,2.52,0.59,Photo+3d,
K12-4623-a,4.2,4,98.48,98.48,Gutansar,Obsidian,58,Blade,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,,8,Along axis side,Plain,Lipped,Yes,Blade,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,15.22,5.73,15.56,5.79,1.26,1.65,1.03,0.08,None,
K12-4811,4.2,4,98.45,98.45,Geghasar-1,Obsidian,40,Flake,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,,,,,Hinge,,,10,Along axis side,,,Yes,Flake,Pre detachment,Module 3,,Distal right,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,,,16.66,12.8,4.91,,,0.96,None,
K12-5313,4.2,4,98.36,98.36,Hatis alpha,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Trapezoidal,Feather,Symmetrical,,11,Along axis side,Dihedral,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,21.13,11.77,20.89,16.9,2.01,4.04,1.33,0.66,Photo high resolution,
K12-5009,4.2,4,98.43,98.43,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Trapezoidal,Retouched,Symmetrical,,12,Along axis opposed,Crushed,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Quina,No,,Yes,,Distal,Dorsal,Signs of use,Concave,,,,,,,,,11.25,15.35,16.73,12.4,3.13,,,0.66,None,
K12-4180,4.1,4,98.54,98.54,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Straight,Polyhedral,Sub rectangular,Feather,A symetric to the left,,4,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.39,6.05,9.1,7.16,1.89,5.16,1.47,0.08,None,
K12-5466/5467-b,4.2,4,98.34,98.34,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Concave,Concave,Oval,Feather,Symmetrical,,13,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.91,7.23,10.37,5.29,2.12,5.92,1.29,0.07,None,
K12-4535/4635-a,4.2,4,98.45,98.44,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Sub rectangular,Hinge,Symmetrical,Yes,3,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 1,,Proximal left,Dorsal,Fine,No,,No,,,,,,,,,,,,,,9.89,5.44,10.39,5.42,1.82,3.99,1.57,0.04,None,
K12-4535/4635-b,4.2,4,98.45,98.45,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Triangular,Feather,Symmetrical,,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,8.35,7.07,8.39,6.13,2.01,4.87,1.84,0.05,None,
K12-4535/4635-d,4.2,4,98.45,98.44,Obsidian,Obsidian,,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Sub rectangular,Feather,Symmetrical,,2,Along axis,Plain,Not lipped,Yes,Bladelet,Pre detachment,Module 1,,Distal and proximal,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,8.5,3.16,8.48,3.15,0.66,1.4,0.51,0.01,None,
K12-a,4.2,4,98.44,98.4,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Oval,Feather,Symmetrical,,10,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,9.66,10.84,11.37,9.8,2.66,,,0.24,Photo high resolution,
K12-b,4.2,4,98.39,98.37,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Concave,Oval,Feather,Symmetrical,,8,Along axis opposed,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,6.57,10.16,10.84,7.23,1.7,,,0.11,None,
K12-c,4.2,4,98.39,98.37,Quartzite,Non-Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,,2,Side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,9.92,7.23,10.5,8.07,1.7,3.87,1.63,0.07,None,
K12-5132/5167-a,4.2,4,98.38,98.38,Quartzite,Non-Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Trapezoidal,Feather,Symmetrical,,4,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,5.55,3.57,9.85,6.52,1.03,2.42,0.96,0.01,None,
K12-5132/5167-b,4.2,4,98.38,98.38,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Oval,Feather,Symmetrical,,3,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Regular,No,,No,,,,,,,,,,,,,,4.49,4.39,5.01,3.77,0.8,2.17,0.62,0.01,None,
K12-a,4.2,4,98.49,98.47,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Concave,Concave,Oval,Feather,Symmetrical,Yes,1,Along axis,Plain,Lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,4.72,7.54,9.16,4.73,1.17,4.56,1.68,0.01,Photo+3d,
K12-b,4.2,4,98.49,98.47,Gutansar,Obsidian,58,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Concave,Irregular,Feather,Symmetrical,,1,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,7.16,10.88,10.77,8.07,1.1,5.5,1.13,0.08,None,
K13-b,4.1,4,98.53,98.48,Pokr arteni,Obsidian,101,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Sub rectangular,Step,Symmetrical,Yes,4,Along axis,Dihedral,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Flat,No,,No,,,,,,,,,,,,,,12.16,5.33,11.4,6.67,1.3,4.42,1.12,0.11,None,
K13-c,4.1,4,98.53,98.48,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Convex,Straight,Triangular,Oval,Hinge,Symmetrical,,2,Side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.42,8.69,8.87,7.16,1.82,,,0.05,None,
K13-a,4.1,4,98.49,98.48,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Concave,Oval,Feather,Symmetrical,Yes,1,Side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Distal left,Dorsal,Isolated removals,No,,No,,,,,,,,,,,,,,14.56,12.07,14.77,13.12,1.18,5.99,0.78,0.25,None,
K13-4517/4616-a,4.1,4,98.49,98.48,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Irregular,Feather,A symetric to the left,Yes,5,Along axis side,Punctiform,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Flat,No,,No,,,,,,,,,,,,,,10.54,9.45,15.83,9.21,1.23,4.04,0.9,0.2,Photo high resolution,
K13-4517/4616-b,4.1,4,98.49,98.48,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Oval,Feather,Symmetrical,Yes,4,Along axis,Plain,Not lipped,Yes,Kombewa flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,3.76,3.9,5.17,4,0.95,2.19,0.82,0.01,Photo+3d,
K13-4517/4616-c,4.1,4,98.49,98.48,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Straight,Trapezoidal,Feather,A symetric to the right,,5,Along axis side,Plain,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Fine,No,,No,,,,,,,,,,,,,,2.6,6.32,5.81,3.76,0.57,1.49,0.59,0.01,None,
K13-4022/4178-a,4.1,4,98.58,98.57,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Oval,Feather,Symmetrical,,4,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,4.59,6.29,6.93,4.68,1.12,3.3,1.28,0.01,None,
K13-4022/4178-b,4.1,4,98.58,98.57,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,,5,Along axis opposed,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,5.8,9.04,9.13,5.77,1.13,1.83,0.84,0.01,None,
K13-4022/4178-e,4.1,4,98.58,98.57,Chert (red),Non-Obsidian,,Bladelet,Prox,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,,,,Feather,,,3,Along axis,,,Yes,Bladelet,Pre detachment,Module 2,,Proximal,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,,,13.78,5.02,0.81,,,0.05,None,
K13-4368/4416-a,4.1,4,98.54,98.53,Hatis beta,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Trapezoidal,Hinge,Symmetrical,,5,Along axis,Plain,Lipped,Yes,Flake,Pre detachment,Module 2,,Circumference,Dorsal,Regular,No,,No,,,,,,,,,,,,,,6.81,9.14,11.1,7.44,2.25,5.54,2.4,0.16,None,
K13-4368/4416-b,4.1,4,98.54,98.53,Hatis alpha,Obsidian,50,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Leaf shaped,Feather,A symetric to the left,,6,Along axis side,Punctiform,Not lipped,Yes,Bladelet,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,11.4,4.42,11.55,4.43,0.88,1.92,0.67,0.01,None,
K13-4368/4416-c,4.1,4,98.54,98.53,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Concave,Concave,Trapezoidal,Feather,Symmetrical,,2,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal,Dorsal,Fine,No,,No,,,,,,,,,,,,,,3.82,4.03,6.04,4.19,0.82,2.66,0.71,0,None,
K13-a,4.1,4,98.49,98.45,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Triangular,Trapezoidal,Feather,Symmetrical,,2,Along axis,Plain,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.99,5.87,9.31,8.68,1.32,3.91,1.64,0.11,None,
K13-b,4.1,4,98.49,98.45,Hatis alpha,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Oblique,Irregular,Feather,Symmetrical,,4,Along axis,Punctiform,Not lipped,Yes,Flake,Pre detachment,Module 1,,Proximal until ridge,Dorsal,Regular,No,,No,,,,,,,,,,,,,,7.42,4.15,7.44,4.76,1.27,1.8,0.86,0.01,None,
K13-5195/5257-a,4.1 int,4,98.4,98.38,Hatis alpha,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Trapezoidal,Trapezoidal,Feather,A symetric to the left,,7,Along axis side,Plain,Lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Half quina,No,,No,,,,,,,,,,,,,,8.46,9.12,11.07,8.51,2.53,2.72,1.21,0.18,None,
K13-5195/5257-b,4.1 int,4,98.4,98.38,Geghasar-1,Obsidian,40,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Irregular,Feather,A symetric to the left,,8,Along axis side,Crushed,Not lipped,Yes,Flake,Pre detachment,Module 3,,Circumference,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,7.13,6.38,11.42,6.74,0.94,,,0.04,Photo high resolution,
K13-5490/5510-b,4.2,4,98.32,98.32,Obsidian,Obsidian,,Bladelet,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Triangular,Sub rectangular,Feather,Symmetrical,,4,Along axis,Plain,Not lipped,Yes,Bladelet,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Invasive,No,,No,,,,,,,,,,,,,,7.89,4.25,7.84,4.19,0.68,3.15,0.97,0.01,None,
K13-5490/5510-c,4.2,4,98.32,98.32,Obsidian,Obsidian,,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Straight,Straight,Straight,Oval,Feather,Symmetrical,Yes,1,Plain,Punctiform,Not lipped,No,,,Module 0,,,,,,,No,,,,,,,,,,,,,,2.81,6.37,6.47,3.02,0.71,1.41,0.62,0.01,None,
K13-5260/5284-a,4.1 int,4,98.4,98.38,Hatis alpha,Obsidian,50,Flake,Complete,Fresh,No patina,0,,,No,,,,,,,,,,,,,,,,Edge Modification ,Concave,Convex,Polyhedral,Trapezoidal,Feather,Symmetrical,Yes,3,Along axis,Punctiform,Not lipped,Yes,Kombewa flake,Pre detachment,Module 2,,Proximal until ridge,Dorsal,Scraper-like,No,,No,,,,,,,,,,,,,,8.03,5.41,7.68,9.05,0.91,1.63,0.59,0.01,None,
